ts,o,h,l,c,vol,volCcy,volCcyQuote,confirm,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2024-10-22 04:00:00,0.8236608341657812,0.7671841797129106,0.8684518084127122,0.8185011332266328,0.0,0.0,0.0,0,0.09678283045365646,0.5171943347560818,0.0,0.49267372566983425,0.42341457025554036,0.5565233610951326,0.887774045920022,0.8335188477253155,0.5640841483320755,0.8318086791349995,0.8522125591912371,0.7080112327685413,0.9475085933319924,0.0,0.1746900979225301,0.0,0.0,0.849823746803458,0.7831069145640512,0.9080137647492403,0.0,0.4810602874355403,0.0,0.0,0.9763153305040388,0.6960595595312249,0.8426989596226537,0.0,0.1900161909769534,0.0,0.0,0.5542430139395631,0.5534292835743392,0.5132348645223941,0.8526672598896949,0.8684343328478548,0.8562012791791371,0.8757107203921137,0.0,0.0,0.4453703624375938,1.0,0.0,0.14354307420167622,0.8901637709240402,0.8996718396395855,0.509971417121818,0.8324182931386357,0.8902411120327205,0.8579239321085286,0.8921132417214626,0.0,0.0,0.0,0.0,0.46514643859575117,0.4550161896351721,0.44097828702427755,0.0,0.0,0.5,0.927015346621979,0.7340468199157781,0.0,0.0,1.0,0.0,0.0,0.0,0.3243605318924483,0.0,0.18740760766005474,0.16765839959807505,0.1874076076600546,0.5301623080040948,0.4455515950264639,0.5586224702840181,0.5563430306253134,0.5024051245054583,0.2452743000582913,0.295660258876903,0.22879275465280408,0.8434844941621353,0.44337844858678577,0.449595919045723,0.8185011332266339
2024-10-22 00:00:00,0.821276275792437,0.7985602151003945,0.7880480312761797,0.8236570458768799,0.245714165381035,0.2490744054136812,0.2490744054136812,1,0.13187978683091844,0.5696958236196625,1.0,0.5340150472947232,0.35312132193548873,0.2099659027734252,0.8926768178849974,0.8145897551268249,0.0,0.8318086791349995,0.855586380725919,0.7183442092204029,0.944645743815677,0.01369160180945975,0.6685215625461491,0.0,0.0,0.8405339281069368,0.8432017548633848,0.8346173604552973,0.3723985238529906,0.5620736990793032,0.0,0.0,0.8859252369048303,0.7370208911283473,0.8100491753922316,0.1635988020708853,0.7493789054913271,0.0,0.0,0.5558917105995531,0.5537971390745914,0.5173170432435352,0.8558194412977356,0.8719735779765827,0.8572024346991434,0.8762404786364204,0.07229474201880819,0.175543290881804,0.34407289826110343,0.059021408962979846,0.0826099328990211,0.13895797679103095,0.8932031799772606,0.9012394552129879,0.5144665680435213,0.8043634482163906,0.8553470812001258,0.8255630821057114,0.8536835059258969,0.0,0.0,0.0,0.0,0.35129800464566413,0.4550161896351721,0.44097828702427755,0.04,0.04,0.5,0.927015346621979,0.7340468199157781,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7492445382006643,0.46910883647273677,0.7492445382006642,0.5301623080040948,0.4455515950264639,0.5601718885667739,0.5566897981877232,0.5062417783942109,1.0,0.5268977945260638,1.0,0.8457980185248974,0.4575120814623198,0.4637618733875936,0.8236570458768808
2024-10-21 20:00:00,0.8625441734068042,0.8239299189036817,0.869651556052002,0.821272436276141,0.13959929268251312,0.14253106046445357,0.14253106046445357,1,0.09423264188305,0.5397456163801437,0.5321651429400728,0.5265509332061828,0.5551914260147095,0.7080855895579198,0.8913841938843088,0.830222903021113,0.4110948815664391,0.8288322421971444,0.855670726264286,0.7171714969076461,0.9457636196298491,0.01118952195168294,0.5139819298931848,0.0,0.0,0.851524065134579,0.8535934627449304,0.8459831443381987,0.36683994259149194,0.5231200874838378,0.0,0.0,0.8859252369048303,0.770140972654703,0.825705014551902,0.19948273018936155,0.6003006324635551,0.0,0.0,0.5564021137357843,0.5542053040967202,0.5177643674573936,0.8558982458329369,0.8720620591048025,0.8575865318649925,0.876485982341304,0.3088421208459901,0.21793399337944397,0.5433057523845248,0.05905765129435843,0.15304793059637634,0.1388433493557637,0.8932791652035913,0.9017881206636786,0.5131180227670106,0.8178159763143524,0.8720790550010005,0.8410803749349309,0.8721108792377059,0.0,0.0,0.0,0.0,0.6359190895208817,0.4550161896351721,0.44097828702427755,0.08,0.04,0.52,0.927015346621979,0.7340468199157781,0.0,1.0,0.5923716002583568,0.0,0.0,0.0,0.9930914300621871,0.6970497978299021,0.5995068507308533,0.5160317075383872,0.5995068507308532,0.5301623080040948,0.4455515950264639,0.5606515074842432,0.5570745533506014,0.5066620751314495,0.9378941134243872,0.6928594367559627,0.7822964087118407,0.8461503878303844,0.4368462990947569,0.44304541967123845,0.8212724362761417
2024-10-21 16:00:00,0.8169475504570407,0.8243527473004022,0.8226235171222607,0.8625412204474889,0.2759105227416545,0.28053428784284423,0.28053428784284423,1,0.14927745698632744,0.5986643636500442,0.8034955439603616,0.5747612021581249,0.37047540266934603,0.570565199768502,0.9354065575356034,0.840484596452491,0.239481520600519,0.8288322421971444,0.8692152139670579,0.7735166677137517,0.9219170172707791,0.09555843238870199,0.7875592192436098,0.0,0.0,0.8563160632788689,0.8730401797707419,0.837125467447434,0.44398510501573535,0.6287041362120875,0.0,0.0,0.8859252369048303,0.7706929740134747,0.8259659452045618,0.1997805805093218,0.890727401395305,0.0,0.0,0.569973839956327,0.5575599456868499,0.5504621086628066,0.8685529407772963,0.8862706536111791,0.8659249528005564,0.8809535738670249,0.3409420925367245,0.33621591984466376,0.4580892694718439,0.05934513734312443,0.2231483563327414,0.12043609370927866,0.9054811261318322,0.9052091150660514,0.5394006083123436,0.8180401851159846,0.872357921231016,0.8413389964820848,0.8724180021262349,0.0,0.0,0.0,0.0,0.5688513197684675,0.4550161896351721,0.44097828702427755,0.12,0.04,0.54,0.927015346621979,0.7340468199157781,1.0,0.0,0.9433579626116544,0.0,0.0,0.0,0.9885357165391215,0.8805152467860606,0.891218257604127,0.7677821311574875,0.8912182576041268,0.5301623080040948,0.4455515950264639,0.5733991042140982,0.5602353333969573,0.5373761551637739,0.9191851306302936,0.8198965764849333,0.6524781321678615,0.8640104432439308,0.556463079365806,0.5626574723622788,0.8625412204474894
2024-10-21 12:00:00,0.914682220002363,0.8692267661216881,0.8178141839130388,0.81695435943156,0.5756319405231226,0.5862271155338709,0.5862271155338709,1,0.09011025898049303,0.4760495299667343,0.5372254480501648,0.4410815995908258,0.4533546835595416,0.6039571802934761,0.8347803121180893,0.8460264676837852,0.12816690193244298,0.8288322421971444,0.8654098244277328,0.7672666378047115,0.9206537968003143,0.09090084829085363,0.3921654335565825,0.0,0.0,0.8587098806511646,0.8962395224807054,0.8202122777885776,0.5544019957629445,0.4991005760133886,0.0,0.0,0.8859252369048303,0.8292758874483397,0.8536580470344219,0.26327399351464703,0.43100290353357,0.0,0.0,0.5658504638154058,0.5593236555223872,0.5328071660265478,0.864997542830813,0.8822786800430666,0.8641286563566446,0.8804062868770739,0.44355872517329265,0.3993972354026492,0.4998367924045076,0.05951223400674604,0.29345773493069527,0.12560770149703426,0.9020529260038876,0.9065544558146084,0.5254025210442053,0.8418350628072089,0.9019534936933322,0.8687860370889826,0.9050124030397289,0.0,0.0,0.0,0.0,0.5401170235858859,0.4550161896351721,0.44097828702427755,0.16,0.04,0.56,0.927015346621979,0.7993523577095791,0.0,1.0,0.3516428578217194,0.0,0.0,0.0,0.8779113762962746,0.736797358533191,0.4294602711119417,0.6533965009987129,0.4294602711119415,0.5301623080040948,0.4455515950264639,0.5695264360495147,0.5618972349263754,0.5207924872716161,0.9246648863990806,0.9232052097889107,0.5733404782188637,0.8587819201703297,0.31916975703434614,0.3246671555719352,0.8169543594315609
2024-10-21 08:00:00,0.9437910181634601,0.9044733076022364,0.952072150340789,0.914691128607795,0.15525124105399804,0.16022129333224297,0.16022129333224297,1,0.06159352301715066,0.5093260522336805,0.4746007584425655,0.519410506239906,0.5940231587028244,0.7626961854805574,0.8936990324076253,0.8589956747971019,0.24142554136252634,0.9508987703695304,0.8841912328904478,0.8360492019181027,0.8953570569845182,0.18902438632696994,0.8347832301949868,1.0,0.0,0.8781330617328154,0.90890535984264,0.8455778955396305,0.5138692909090471,0.6986601526582803,0.0,0.0,0.8859252369048303,0.8752901545603802,0.8754089586190741,0.3124399638004786,0.8107433972352017,0.0,0.0,0.5937407258928016,0.5669574699323436,0.5979490925931976,0.8825451238052091,0.9019809694881502,0.8815868675379193,0.8899417693827658,0.5585173853060817,0.3589916220402055,0.6575180466853774,0.0601814374069919,0.3485577659568731,0.10008335575869043,0.9189727252069606,0.9103602200079767,0.5645367222638045,0.8605248785535657,0.925199496610702,0.8903444640068443,0.9306138520297669,0.0,0.0,0.0,0.0,0.8066917404460122,0.4550161896351721,0.44097828702427755,0.2,0.04,0.58,0.8717586875992236,0.7993523577095791,1.0,0.0,0.7009842304709777,0.0,0.0,0.0,0.8331467751488446,0.7931823667080119,0.8108804620671578,0.7290040471477264,0.8108804620671576,0.5368399804620676,0.4455515950264639,0.595691163741996,0.5690825530925542,0.5819038489323237,0.8335461680825592,0.9779345990126516,0.41132238326298876,0.8784334686166186,0.7113564262313559,0.7164831405192411,0.9146911286077952
2024-10-21 04:00:00,0.989720619985178,0.9616960839585404,0.9858202240218423,0.9438005521123118,0.13687370119669873,0.14214445560967406,0.14214445560967406,1,0.02584865913594525,0.5386970232207716,0.4081166781806765,0.5342444972151699,0.5642342443805185,0.8440448015165716,0.9089810137620875,0.8726211540729842,0.3224151990364747,0.987254445866526,0.9030488201013096,0.8891172727911485,0.8832511497731881,0.2555268421426689,0.7982308512034458,0.0,0.0,0.898793759268707,0.9287106654315203,0.8666950926473085,0.5045675926439499,0.7303102260593022,0.0,0.0,0.8859252369048303,0.9499943384476026,0.9107215736125518,0.39233960155126857,0.7511120082918766,0.0,0.0,0.6244502210092583,0.579916392373073,0.6570430647537181,0.9001638790344133,0.9217631728411,0.9020115572826235,0.9017618466053037,0.5988211023369575,0.34210550098224324,0.715513515458829,0.061331834189685915,0.39755479944683797,0.07445548143198666,0.935961152336672,0.9155820535310476,0.5998133280053709,0.8908678030411918,0.9629393930726771,0.9253445800549756,0.9721778162775134,0.0,0.0,0.0,0.0,0.7116093605381956,0.4550161896351721,0.44097828702427755,0.24,0.04,0.6,0.8717586875992236,0.7993523577095791,0.0,0.0,0.74504564773248,0.0,0.0,0.0,0.8151664312060706,0.7375137556221163,0.7509853069943395,0.6788432478984173,0.7509853069943393,0.5615828905348514,0.4455515950264639,0.6244346796522423,0.5812637502712726,0.6371785075768525,0.7544432886650047,0.9974820801349817,0.29398614562848424,0.9105455167361658,0.5221274568011958,0.5283967753220363,0.9438005521123123
2024-10-21 00:00:00,1.0,1.0,1.0,0.9897311406382583,0.2259555158783244,0.23569760703518608,0.23569760703518608,1,0.0065737171618365925,0.5869994506510632,0.39238190510475535,0.5767096885482748,0.48723056978560275,0.8479165299726054,0.9484792288403626,0.8955018647318393,0.42804501601820644,0.987254445866526,0.9247057922189832,0.9502306706692618,0.8692089641284104,0.3319075285426617,0.8068187084107626,0.0,0.0,0.9191347673998296,0.952090997399317,0.8838908763777464,0.5160072057368951,0.7960450347873405,1.0,0.0,0.8859252369048303,1.0,0.9343592145318294,0.4452147066952736,0.8087755418101399,0.0,0.0,0.6623974240367151,0.5987502711710717,0.7222388326920388,0.9203981161338062,0.9444820191945844,0.9282126141573297,0.917425625578451,0.6292974629438638,0.3583679564835222,0.7304079778431716,0.06302798681730051,0.4445170031692266,0.04502318166200203,0.9554714899295651,0.9220141075863741,0.6390792031381693,0.9111788208916609,0.9882018133455368,0.9487730396984073,1.0,0.0,0.0,0.0,0.0,0.6797671926210144,0.4550161896351721,0.44097828702427755,0.28,0.04,0.62,0.882121626389134,0.7993523577095791,0.0,0.0,0.7961001799257386,0.0,0.0,0.0,0.813515470970939,0.7213052819039062,0.808903902273171,0.8145688083058933,0.8089039022731709,0.5803680979146807,0.4455515950264639,0.659848763925064,0.5989345572280701,0.6979158284393763,0.7116213037420249,1.0,0.23719034476573403,0.9563317447375503,0.567141852472452,0.5733009181765535,0.9897311406382594
2024-10-20 20:00:00,0.9435010043072429,0.9868814779478727,0.9852824061145755,1.0,0.19246222330356996,0.200493317118748,0.200493317118748,1,0.01752557788221254,0.6281839628055547,0.42617601641957453,0.5739316520625071,0.3823205414644595,0.7861673304075854,0.9559619668115864,0.9101008621218991,0.38504138800446996,1.0,0.9430433322860416,0.9914390201625238,0.8660780331979678,0.3755572248658029,0.7624657954593801,0.0,0.0,0.9341687320091863,0.969773530917049,0.8962277228530144,0.5265536246377387,0.7845929996318364,1.0,0.0,0.8859252369048303,1.0,0.9343592145318294,0.44434105726164763,0.8421004049375308,0.0,0.0,0.694179263950526,0.6209085055886664,0.7591299863176245,0.9375309882417069,0.9637186767024186,0.9523767072825038,0.9329842264642352,0.6390319077904912,0.4120273331231258,0.6868195610658101,0.06507040589601985,0.4896041085624126,0.020102062801746423,0.971991416879074,0.9289102322203203,0.6681689830578846,0.9111788208916609,0.9882018133455368,0.9487730396984073,1.0,0.0,0.0,0.0,0.0,0.6284602411707655,0.4550161896351721,0.44097828702427755,0.28,0.04,0.62,0.8993813106367972,0.7993523577095791,0.0,0.0,0.8054788978007679,0.0,0.0,0.0,0.8142470769565437,0.7079295671754742,0.8423761704890357,0.8258347048052166,0.8423761704890355,0.6096739154592214,0.4455515950264639,0.6893928060882748,0.6196833072192077,0.7319703461975976,0.6645049531410261,0.9875785364981444,0.187365558918539,0.9977452393626915,0.47087703335604436,0.4771481107017917,1.0
2024-10-20 16:00:00,0.9566375578685058,0.9044624658484759,0.9807316392069252,0.9434997905410487,0.058195053328157914,0.060227687467694316,0.060227687467694316,1,0.012993411262950033,0.6155335918697378,0.42285013522865567,0.5467291997069051,0.31869171743254465,0.7032845381752547,0.9433333467100843,0.9123261108088236,0.37358689813315027,0.9298727879267119,0.9503190721428485,0.9944892781281656,0.8758903531674669,0.36665713912118697,0.622031931755451,0.0,0.0,0.940578941501168,0.968772627544789,0.909397255921272,0.48592735171633866,0.6440610323439353,0.0,0.0,0.8859252369048303,1.0,0.9343592145318294,0.44399534975819155,0.6587439404500149,0.7038023470807664,0.0,0.6994178832116766,0.6398039284553455,0.7229218016497067,0.9443287550087414,0.9713511571348903,0.9618522517124521,0.9415850709683404,0.6214463155911721,0.464742318039637,0.6162789396414488,0.06690272805053452,0.526988452531376,0.010214172871869653,0.9785459869303732,0.9390400769658918,0.6585094031883584,0.9111788208916609,0.9882018133455368,0.9487730396984073,1.0,0.0,0.0,0.0,0.0,0.5453737031984242,0.4550161896351721,0.44097828702427755,0.28,0.04,0.62,0.9156054138296001,0.7993523577095791,0.0,0.0,0.5845563635627045,0.0,0.0,0.0,0.7615384136316515,0.6978890616132971,0.6582086696360681,0.7926488504013987,0.6582086696360678,0.6307796755187864,0.4455515950264639,0.6941727641458046,0.6373520857364054,0.6978933856808208,0.5837645899835311,0.9529036330271623,0.11314744337812849,0.998328402659169,0.29228822272890015,0.29752614436594327,0.9434997905410499
