open,high,low,close,volume,volCcy,volCcyQuote,confirm,date
91224.0,91632.0,90890.0,91564.2,218.71074787,19934250.362534758,19934250.362534758,1,2024-11-19 00:45:00
91843.1,91904.9,91192.0,91224.0,163.56484256,14982483.502876142,14982483.502876142,1,2024-11-19 00:30:00
91383.2,92165.7,91236.0,91843.1,281.3843083,25836939.981637996,25836939.981637996,1,2024-11-19 00:15:00
91405.2,91535.9,91022.4,91383.2,145.41564771,13279399.127971858,13279399.127971858,1,2024-11-19 00:00:00
91693.8,91792.0,91114.3,91407.9,245.21834997,22400439.879083566,22400439.879083566,1,2024-11-18 23:45:00
91943.8,92109.0,91691.2,91691.2,177.84527614,16346522.122766823,16346522.122766823,1,2024-11-18 23:30:00
92079.9,92146.2,91600.1,91943.7,323.75584662,29756135.48431212,29756135.48431212,1,2024-11-18 23:15:00
92339.1,92592.6,91846.6,92079.9,425.69631978,39240679.24992801,39240679.24992801,1,2024-11-18 23:00:00
91903.8,92644.1,91737.5,92333.3,772.91861458,71347054.79704908,71347054.79704908,1,2024-11-18 22:45:00
90648.0,92327.6,90647.9,91903.8,900.39257895,82506572.36702208,82506572.36702208,1,2024-11-18 22:30:00
90846.7,90848.6,90350.0,90648.0,227.99991706,20654267.008903936,20654267.008903936,1,2024-11-18 22:15:00
90300.0,90860.0,90250.0,90846.7,237.85591644,21553114.427094173,21553114.427094173,1,2024-11-18 22:00:00
90581.0,90620.0,89724.7,90300.3,296.45642038,26733884.317725867,26733884.317725867,1,2024-11-18 21:45:00
90373.0,91047.4,90132.1,90581.1,271.30842606,24598116.291823424,24598116.291823424,1,2024-11-18 21:30:00
90213.2,90412.1,90083.3,90374.8,162.65633618,14682653.306520188,14682653.306520188,1,2024-11-18 21:15:00
89496.2,90263.0,89428.3,90210.6,238.66209814,21443854.6723093,21443854.6723093,1,2024-11-18 21:00:00
89951.9,89951.9,89375.0,89496.1,181.64857547,16279311.537921816,16279311.537921816,1,2024-11-18 20:45:00
89685.9,89961.6,89621.0,89943.3,164.50308432,14771747.575449983,14771747.575449983,1,2024-11-18 20:30:00
89780.1,89973.5,89460.0,89685.9,176.1746258,15795008.27599233,15795008.27599233,1,2024-11-18 20:15:00
90520.1,90600.0,89668.2,89784.9,468.36903468,42134131.71803896,42134131.71803896,1,2024-11-18 20:00:00
90651.0,90743.9,90422.4,90520.2,132.16123097,11971460.607505143,11971460.607505143,1,2024-11-18 19:45:00
90614.6,90766.2,90519.2,90651.0,129.05944635,11702165.476173205,11702165.476173205,1,2024-11-18 19:30:00
90270.1,90614.6,90270.1,90614.6,151.53712753,13711644.775289293,13711644.775289293,1,2024-11-18 19:15:00
90280.2,90588.0,90100.0,90270.1,229.93517896,20777281.346667472,20777281.346667472,1,2024-11-18 19:00:00
