open,high,low,close,volume,volCcy,volCcyQuote,confirm,date
91405.2,92165.7,90890.0,91564.2,809.07554644,74033072.97502075,74033072.97502075,1,2024-11-19 00:00:00
92339.1,92592.6,91114.3,91407.9,1172.51579251,107743776.73609053,107743776.73609053,1,2024-11-18 23:00:00
90300.0,92644.1,90250.0,92333.3,2139.16702703,196061008.60006925,196061008.60006925,1,2024-11-18 22:00:00
89496.2,91047.4,89428.3,90300.3,969.08328076,87458508.58837877,87458508.58837877,1,2024-11-18 21:00:00
90520.1,90600.0,89375.0,89496.1,990.69532027,88980199.1074031,88980199.1074031,1,2024-11-18 20:00:00
90280.2,90766.2,90100.0,90520.2,642.69298381,58162552.205635116,58162552.205635116,1,2024-11-18 19:00:00
91771.9,91828.8,90040.8,90277.1,1244.47022048,113061750.427147,113061750.427147,1,2024-11-18 18:00:00
91723.9,92028.7,91683.4,91771.9,451.44108675,41482944.6336205,41482944.6336205,1,2024-11-18 17:00:00
91816.5,92256.2,91624.5,91723.9,637.51782831,58576952.43152595,58576952.43152595,1,2024-11-18 16:00:00
91721.4,92144.0,91555.1,91816.4,598.68690252,55016479.78945543,55016479.78945543,1,2024-11-18 15:00:00
92072.3,92279.1,91413.9,91716.4,983.52887616,90314328.35023063,90314328.35023063,1,2024-11-18 14:00:00
90609.2,92093.2,90609.1,92072.3,1084.47123042,99024143.90241416,99024143.90241416,1,2024-11-18 13:00:00
90442.8,90811.9,90442.8,90609.2,192.84997757,17478674.99667264,17478674.99667264,1,2024-11-18 12:00:00
90655.9,90700.0,90440.3,90442.8,202.84270467,18369736.772545155,18369736.772545155,1,2024-11-18 11:00:00
90494.0,90666.0,90294.3,90655.9,234.14825964,21183272.025742102,21183272.025742102,1,2024-11-18 10:00:00
90752.0,90850.9,90407.6,90494.0,255.97447764,23191931.372506388,23191931.372506388,1,2024-11-18 09:00:00
89944.8,90936.3,89893.9,90751.9,379.85924765,34393204.28160693,34393204.28160693,1,2024-11-18 08:00:00
89860.8,90131.0,89632.4,89940.7,180.99997744,16273771.473032761,16273771.473032761,1,2024-11-18 07:00:00
89552.5,89873.0,89320.4,89860.0,245.36802842,21988711.37893995,21988711.37893995,1,2024-11-18 06:00:00
89132.8,89640.0,88714.2,89553.0,399.99514669,35668593.228571944,35668593.228571944,1,2024-11-18 05:00:00
89640.5,89740.0,89000.1,89132.8,336.8492166,30115463.12232179,30115463.12232179,1,2024-11-18 04:00:00
90048.9,90222.7,89500.0,89640.4,265.58265022,23847942.065733343,23847942.065733343,1,2024-11-18 03:00:00
89928.1,90150.6,89690.3,90048.9,281.23127571,25283628.113951925,25283628.113951925,1,2024-11-18 02:00:00
90582.6,90624.0,89846.7,89930.0,266.51056293,24004166.471586045,24004166.471586045,1,2024-11-18 01:00:00
90458.7,90644.0,90148.2,90582.6,238.79415134,21592110.044087972,21592110.044087972,1,2024-11-18 00:00:00
